ID	Category	Sub Category	ENGLISH	తెలుగు
mnt-79	Monuments	TAJ MAHAL	Throughout the complex are passages from the Qur'an that comprise some of the decorative elements.	ఈ కట్టడం అంతటా ఖురాన్ నుండి సంగ్రహించిన మార్గ సూత్రాలను అలంకరణ అంశాలుగా వినియోగించారు.
mnt-80	Monuments	TAJ MAHAL	Recent scholarship suggests that Amanat Khan chose the passages.	ఈ మార్గ సూత్రాలు అమానత్ ఖాన్‌చే ఎంపిక చేయబడినట్టుగా ఇటీవలి పరిశోధనలు సూచిస్తున్నాయి.
mnt-81	Monuments	TAJ MAHAL	The interior chamber of the Taj Mahal reaches far beyond traditional decorative elements.	తాజ్ మహల్ లోపల గది అలంకరణ సంప్రదాయ అలంకరణ అంశాలకన్నా చాలా ముందడుగు వేసింది.
mnt-82	Monuments	TAJ MAHAL	The inlay work is not pietra dura, but a lapidary of precious and semiprecious gemstones.	ఇక్కడ పొదుగు నైపుణ్యం పిట్రా దుర కాదు గాని లాపిడే (రత్న సంబంధ), రత్నం ఖచితాలతో చేసినట్లుగా ఉంది.
mnt-83	Monuments	TAJ MAHAL	The inner chamber is an octagon with the design allowing for entry from each face, although only the door facing the garden to the south is used.	లోపలి గది రూపకల్పన ప్రతి ద్వారం నుండి లోపలికి తెరచుకుంటూ ఒక అష్టభుజిగా ఉంది, అయినప్పటికీ దక్షిణం వైపు ఉద్యానవన ముఖంగా ఉన్న ఒక ద్వారం మాత్రమే వినియోగించబడింది.
mnt-84	Monuments	TAJ MAHAL	"The interior walls are about 25 metres (82 ft) high and are topped by a ""false"" interior dome decorated with a sun motif."	"లోపలి గదులు 25 మీటర్లు పొడవు కలిగి ""నకిలీ"" అంతర గోపురం కప్పు సూర్యుడి భావంతో అలంకరించబడింది."
mnt-85	Monuments	TAJ MAHAL	Eight pishtaq arches define the space at ground level and, as with the exterior, each lower pishtaq is crowned by a second pishtaq about midway up the wall.	ఎనిమిది పిష్తాక్ వంపులు నేల స్థాయిని, బాహ్య౦గా ఉన్న స్థలాన్ని విశదీకరిస్తాయి.గోడ మధ్య దారిలో ప్రతి కింద పిష్తాక్ రెండవ పిష్టాక్‌ను తన పైన కలిగి ఉంటుంది.
mnt-86	Monuments	TAJ MAHAL	The four central upper arches form balconies or viewing areas, and each balcony's exterior window has an intricate screen or jali cut from marble.	నాలుగు మధ్య ఎగువ తోరణాలు బాల్కనీలు లేదా వీక్షణ ప్రాంతాలను ఏర్పరుస్తాయి, మరియు ప్రతి బాల్కనీ యొక్క బాహ్య విండోలో క్లిష్టమైన తెర లేదా పాలరాయి నుండి కత్తిరించిన జాలీ ఉంటుంది..
mnt-87	Monuments	TAJ MAHAL	In addition to the light from the balcony screens, light enters through roof openings covered by chattris at the corners.	బాల్కనీ తెరల నుండి ప్రవేశిస్తున్న వెలుగుతో పాటు తెరవబడి ఉన్న పై కప్పుల నుండి కూడా వెలుగు లోపలకి ప్రవేశిస్తుంది, ఇవి మూలలలో చట్రీలుతో మూయబడి ఉన్నాయి.
mnt-88	Monuments	TAJ MAHAL	The octagonal marble screen or jali bordering the cenotaphs is made from eight marble panels carved through with intricate pierce work.	ఖాళీ సమాధులకు హద్దులుగా అష్టభుజాల పాల రాయి తెర లేదా జాలీ ఉన్నాయి, ఇవి ఎనిమిది పాల రాయి పలకలతో సంక్లిష్ట౦గా రంధ్రాలు చెక్కబడి ఉన్నాయి.
mnt-89	Monuments	TAJ MAHAL	The remaining surfaces are inlaid in delicate detail with semi-precious stones forming twining vines, fruits and flowers.	మిగిలిన ఉపరితలాలు అత్యంత సున్నితంగా రత్నఖచితం చేయబడి చుట్టబడిన ద్రాక్ష తీగలు, ఫలాలు, పుష్పాలు రూపాలను తయారు చేస్తాయి.
mnt-90	Monuments	TAJ MAHAL	Each chamber wall is highly decorated with dado bas-relief, intricate lapidary inlay and refined calligraphy panels which reflect, in little detail, the design elements seen throughout the exterior of the complex.	ప్రతి గది గోడ ఉన్నతమైన డాడో శిల్ప కళా నైపుణ్యంతో అలంకరించబడింది, సంక్లిష్ట రత్న సంబంధ పొదగడాలు, నిర్మల నగీషీ వ్రాతలతో పలకలు, వాటి రూపకల్పన అంశాలు కట్టడం యొక్క బయటి భాగాల అంతటా ప్రతిబింబిస్తాయి.
mnt-91	Monuments	TAJ MAHAL	The Taj Mahal complex is bordered on three sides by crenellated red sandstone walls; the side facing the river is open.	తాజ్ మహల్‌కు మూడు వైపులా క్రెనేల్లషన్ (యుద్ధ సామగ్రి నిండిన ఎరుపు ఇసుకరాయి గోడలున్నాయి, ఒక వైపు మాత్రం నది ఉంది.
mnt-92	Monuments	TAJ MAHAL	Outside the walls are several additional mausoleums, including those of Shah Jahan's other wives, and a larger tomb for Mumtaz's favourite servant.	గోడలకు బయట చాలా సమాధులున్నాయి, వాటిలో షాజహాన్ యొక్క ఇతర భార్యలు, ముంతాజ్ యొక్క ప్రియ సేవకి సమాధి కూడా ఉన్నాయి.
mnt-93	Monuments	TAJ MAHAL	These structures, composed primarily of red sandstone, are typical of the smaller Mughal tombs of the era.	ఈ నిర్మాణాలు ప్రాథమికంగా ఎరుపు ఇసుక రాయితో కూర్చబడి, మొఘల్‌ల చిన్న సమాధుల యుగానికి చిహ్నంగా ఉన్నాయి.
mnt-94	Monuments	TAJ MAHAL	The garden-facing inner sides of the wall are fronted by columned arcades, a feature typical of Hindu temples which was later incorporated into Mughal mosques.	గోడల యొక్క లోపల వైపు ఉద్యానవన-ముఖంగా శాలలు ఉన్నాయి, ఇది హిందూ దేవాలయాల యొక్క చిహ్న లక్షణ౦, తరువాతి కాలంలో ఇది మొఘల్ మసీదులలో సంస్థీకరించబడింది.
mnt-95	Monuments	TAJ MAHAL	The wall is interspersed with domed chattris, and small buildings that may have been viewing areas or watch towers like the Music House, which is now used as a museum.	గోడ అక్కడక్కడ గోపుర చత్రీల ‍‌తో ఉంటుంది, చిన్న భవనాలు వీక్షణ ప్రాంతాలను లేదా సంగీత గృహాలు వంటి పహారా గోపురాలతో ఉన్నాయి.ప్రస్తుతం ఇది పురావస్తు ప్రదర్శన శాలగా వినియోగించబడుతుంది.
mnt-96	Monuments	TAJ MAHAL	Soon after the Taj Mahal's completion, Shah Jahan was deposed by his son Aurangzeb and put under house arrest at nearby Agra Fort.	తాజ్ మహల్ నిర్మాణం పూర్తి అయిన తరువాత కొద్ది కాలానికే అతని కొడుకు ఔరంగజేబు షాజహాన్‌ను సామ్రాజ్యాధికారం నుండి తొలగించి ఆగ్రా కోటకు దగ్గరలో గృహ నిర్భందన చేసాడు.
mnt-97	Monuments	TAJ MAHAL	Upon Shah Jahan's death, Aurangzeb buried him in the mausoleum next to his wife.	షాజహాన్ మరణించడంతో సమాధిలో అతన్ని భార్య పక్కనే పూడ్చి పెట్టారు.19వ శతాబ్దం చివరికి వచ్చేసరికి భవనంలో చాలా భాగాలకు మరమత్తులు అవసరం అయ్యాయి.
mnt-98	Monuments	TAJ MAHAL	In the 18th century, the Jat rulers of Bharatpur invaded Agra and attacked the Taj Mahal.	18వ శతాబ్దంలో భరత్‌పూర్ జాట్ పాలకులు ఆగ్రాపై దాడి చేసి తాజ్ మహల్‌పై దాడి చేశారు.
mnt-99	Monuments	TAJ MAHAL	They took away the two chandeliers, one of agate and another of silver, which were hung over the main cenotaph; they also took the gold and silver screen.	వారు రెండు షాన్డిలియర్లను తీసివేసారు, ఒకటి అగేట్ మరియు మరొక వెండి, వీటిని ప్రధాన సమాధిపై వేలాడదీశారు; వారు బంగారు మరియు వెండి తెరను కూడా తీసుకున్నారు.
mnt-100	Monuments	TAJ MAHAL	Kanbo, a Mughal historian, said the gold shield which covered the 4.6-metre-high (15 ft) finial at the top of the main dome was also removed during the Jat despoliation.	మొఘల్ చరిత్రకారుడు కాన్బో మాట్లాడుతూ, ప్రధాన గోపురం పైభాగంలో 4.6 మీటర్ల ఎత్తైన (15 అడుగులు) ఫైనల్‌ను కప్పిన బంగారు కవచం కూడా జాట్ నిర్మూలన సమయంలో తొలగించబడింది.
