ID	Category	Sub Category	English	Telugu	Hindi
mnt-79	Monuments	Taj Mahal	It was built by Emperor Shah Jahan in memory of his beloved wife Mumtaz.	ఇది చక్రవర్తి షాజహాన్ తన ప్రియమైన భార్య ముంతాజ్ మహల్ జ్ఞాపకార్ధంగా నిర్మించాడు.	इसे बादशाह शाहजहाँ ने अपनी प्यारी पत्नी मुमताज की याद में बनवाया था।
mnt-80	Monuments	Taj Mahal	The Taj Mahal is considered a great example of Mughal architecture.	తాజ్ మహల్ మొఘల్ భవన నిర్మాణ శాస్త్రానికి ఒక గొప్ప ఉదాహరణగా గుర్తించబడింది.	ताजमहल को मुगल वास्तुकला का एक बेहतरीन उदाहरण माना जाता है।
mnt-81	Monuments	Taj Mahal	It was built in the style of Persian, Indian and Islamic architecture.	ఇది పర్షియా, భారతీయ, ఇస్లాం భవన నిర్మాణ అంశాల శైలితో నిర్మించబడింది.	यह फारसी, भारतीय और इस्लामी वास्तुकला की शैली में बनाया गया था।
mnt-82	Monuments	Taj Mahal	The Taj Mahal was designated as a UNESCO World Heritage Site in 1983.	1983వ సంవత్సరంలో తాజ్ మహల్‌ను యునెస్కో ప్రపంచ పూర్వ సంస్కృతి ప్రదేశంగా మార్చినదీ.	ताजमहल को 1983 में यूनेस्को की विश्व धरोहर स्थल के रूप में नामित किया गया था।
mnt-83	Monuments	Taj Mahal	Muslim art in India and one of the universally admired masterpieces of the world's heritage.	భారత దేశంలో ఉన్న ముస్లిం కళ యొక్క ఆభరణంగా ఉదాహరించింది అంతేగాక విశ్వవ్యాప్తంగా మెచ్చుకొనబడిన వాటిలో ఒక దివ్యమైన ప్రపంచ పూర్వ సంస్కృతిగా అభివర్ణించింది.	भारत में मुस्लिम कला और दुनिया की विरासत की सार्वभौमिक रूप से प्रशंसित उत्कृष्ट कृतियों में से एक।
mnt-84	Monuments	Taj Mahal	The tomb dome made of white milk stone is a very popular part of it.	తెల్లటి పాల రాయితో చేసిన సమాధి గోపురం దీనిలో ఉన్న బాగా ప్రాచుర్యం పొందిన భాగం.	सफेद दूध के पत्थर से बना मकबरा गुंबद इसका एक बहुत ही लोकप्रिय हिस्सा है।
mnt-85	Monuments	Taj Mahal	In fact the Taj Mahal is a composite structure.	నిజానికి తాజ్ మహల్‌ ఒక మిశ్రమ సమన్వయ నిర్మాణం.	वास्तव में ताजमहल एक मिश्रित संरचना है।
mnt-86	Monuments	Taj Mahal	Construction of the structure began in 1632 and was completed in 1653.	ఈ కట్టడం యొక్క నిర్మాణం 1632వ సంవత్సరంలో మొదలై 1653లో పూర్తయింది.	संरचना का निर्माण 1632 में शुरू हुआ और 1653 में पूरा हुआ।
mnt-87	Monuments	Taj Mahal	thousands of sculptors and craftsmen working on the structure.	వేల మంది శిల్పులు, చేతి పని నిపుణులు ఈ నిర్మాణం కోసం పనిచేశారు.	संरचना पर काम कर रहे हजारों मूर्तिकार और शिल्पकार।
mnt-88	Monuments	Taj Mahal	The construction of the Taj Mahal took place under the sovereign supervision of the Council of Architects such as Abdul-Karim Mamur Khan, Makramat Khan, Ustad Ahmad Lahuri.	తాజ్ మహల్ నిర్మాణం అబ్దుల్-కరీం మాముర్ ఖాన్, మక్రమత్ ఖాన్, ఉస్తాద్ అహ్మద్ లాహూరి మొదలైన నిర్మాణ శిల్పుల మండలి యొక్క సార్వభౌమ్య పర్యవేక్షణలో జరిగింది.	ताजमहल का निर्माण अब्दुल-करीम मामूर खान, मकरमत खान, उस्ताद अहमद लाहौरी जैसे आर्किटेक्ट्स काउंसिल की संप्रभु देखरेख में हुआ था।
mnt-89	Monuments	Taj Mahal	The Taj Mahal was commissioned by Shah Jahan in 1631, to be built in the memory of his wife Mumtaz Mahal.	తాజ్ మహల్ 1631 లో షాజహాన్ చేత అతని భార్య ముంతాజ్ మహల్ జ్ఞాపకార్థం నిర్మించబడింది,	ताजमहल को शाहजहाँ ने 1631 में अपनी पत्नी मुमताज की याद में बनवाने के लिए बनवाया था।
mnt-90	Monuments	Taj Mahal	She died on 17 June that year, while giving birth to their 14th child, Gauhara Begum.	అదే సంవత్సరం జూన్ 17 న వారి 14 వ బిడ్డ గౌహారా బేగంకు జన్మనిస్తూ మరణించారు.	उसी वर्ष 17 जून को उनकी 14वीं संतान गौहारा बेगम को जन्म देते समय उनकी मृत्यु हो गई।
mnt-91	Monuments	Taj Mahal	Construction started in 1632 and the mausoleum was completed in 1648.	నిర్మాణం 1632 లో ప్రారంభమైంది,మరియు సమాధి 1648 లో పూర్తయింది.	निर्माण 1632 में शुरू हुआ और मकबरा 1648 में पूरा हुआ।
mnt-92	Monuments	Taj Mahal	while the surrounding buildings and garden were finished five years later.	చుట్టుపక్కల భవనాలు మరియు తోట ఐదు సంవత్సరాల తరువాత పూర్తయింది.	जबकि आसपास के भवन और उद्यान पांच साल बाद बनकर तैयार हुए थे।
mnt-93	Monuments	Taj Mahal	The Taj Mahal incorporates and expands on design traditions of Indo-Islamic and earlier Mughal architecture.	తాజ్ మహల్ ఇండో-ఇస్లామిక్ మరియు మునుపటి మొఘల్ వాస్తుశిల్పం యొక్క డిజైన్ సంప్రదాయాలను కలిగి ఉంది.	ताजमहल इंडो-इस्लामिक और पहले की मुगल वास्तुकला की बनावट परंपराओं को शामिल और विस्तारित करता है।
mnt-94	Monuments	Taj Mahal	The tomb is the central focus of the entire complex of the Taj Mahal.	ఈ కట్టడం యొక్క ప్రధాన ఆకర్షణ, సమాధి.	कब्र ताजमहल के पूरे परिसर का मुख्य अकर्षण का केंद्र है।
mnt-95	Monuments	Taj Mahal	It is a large, white marble structure standing on a square plinth.	ఇది ఒక చదరపు స్తంభం మీద నిలబడి ఉన్న పెద్ద, తెల్లని పాలరాయి నిర్మాణం.	यह एक चौकोर चबूतरे पर खड़ी एक बड़ी, सफेद संगमरमर की संरचना है।
mnt-96	Monuments	Taj Mahal	It consists of a symmetrical building with an iwan topped by a large dome and finial.	ఇది ఒక పెద్ద గోపురం మరియు ఫైనల్ చేత అగ్రస్థానంలో ఉన్న ఇవాన్‌తో సుష్ట భవనాన్ని కలిగి ఉంటుంది.	इसमें एक सममित इमारत होती है जिसमें एक बड़े गुंबद और कलश के ऊपर एक इवान होता है।
mnt-97	Monuments	Taj Mahal	Like most Mughal tombs the basic elements are Indo-Islamic in origin.	చాలా మొఘల్ సమాధులలాగే ఇది కూడా తన ప్రాథమిక అంశాలను పర్షియా మూలాలు కలిగి ఉంది.	अधिकांश मुगल मकबरों की तरह मूल तत्व मूल रूप से इंडो-इस्लामिक हैं।
mnt-98	Monuments	Taj Mahal	Each side of the iwan is framed with a huge pishtaq or vaulted archway with two similarly shaped arched balconies stacked on either side.	ఇవాన్ యొక్క ప్రతి వైపు భారీ పిష్టాక్ లేదా కప్పబడిన వంపుతో ఇరువైపులా పేర్చబడిన వంపు బాల్కనీలు ఉన్నాయి.	इवान के प्रत्येक पक्ष को एक विशाल पिश्ताक या मेहराबदार मेहराब के साथ तैयार किया गया है, जिसके दोनों ओर दो समान आकार की धनुषाकार छज्जा खड़ी हैं।
mnt-99	Monuments	Taj Mahal	This motif of stacked pishtaqs is replicated on the chamfered corner areas.	పేర్చబడిన పిష్తాక్‌ల యొక్క ఈ మూలాంశం చాంఫెర్డ్ కార్నర్ ప్రాంతాలలో ప్రతిబింబిస్తుంది.	ढेर किए गए पिश्ताकों के इस रूपांकन को चम्फर्ड कोना क्षेत्रों पर दोहराया गया है।
mnt-100	Monuments	Taj Mahal	Four minarets frame the tomb, one at each corner of the plinth facing the chamfered corners.	నాలుగు మినార్లు సమాధిని ఫ్రేమ్ చేస్తాయి, చతురస్రాకార మూలలకు ఎదురుగా ఉన్న పునాది యొక్క ప్రతి మూలలో ఒకటి.	चार मीनारें मकबरे को फ्रेम करती हैं, एक चम्फर्ड कोनों का सामना करने वाले प्लिंथ के प्रत्येक कोने पर।
mnt-101	Monuments	Taj Mahal	The main chamber houses the false sarcophagi of Mumtaz Mahal and Shah Jahan the actual graves are at a lower level.	ప్రధాన గదిలో ఉన్న ముంతాజ్ మహల్  షాజహాన్‌ యొక్క సమాధిరాళ్ళు నకిలీవి అసలైన సమాధులు ఇంకా దిగువ భాగాన ఉన్నాయి.	मुख्य कक्ष में मुमताज और शाहजहाँ की झूठी कब्रें हैं, वास्तविक कब्रें निचले स्तर पर हैं।
